id;pseudoID;Name;eMailIG;eMailKG;PhoneSystem;studyGroup;studyGroup_blind
133;5BG34IQ7;Participant_0133;;cg_133@study.com;iOS;2;24
133;ZJ3SWEBN;Participant_0333;;cg_333@study.com;Android;2;24
133;VG5VMF60;Participant_0533;;cg_533@study.com;iOS;2;24
134;YKNFU84X;Participant_0134;ig_134@study.com;;Android;1;91
134;YJOA21A6;Participant_0334;ig_334@study.com;;Android;1;91
134;XVAJ2K8X;Participant_0534;ig_534@study.com;;Android;1;91
135;PNMJQY3O;Participant_0135;ig_135@study.com;;iOS;1;91
135;DSX4NXVK;Participant_0335;ig_335@study.com;;iOS;1;91
135;DC9X5JZ6;Participant_0535;ig_535@study.com;;iOS;1;91
136;KF1622VX;Participant_0136;;cg_136@study.com;Android;2;24
136;YZX9JPNB;Participant_0336;;cg_336@study.com;Android;2;24
136;ZUG0IT26;Participant_0536;;cg_536@study.com;iOS;2;24
137;YS445GDE;Participant_0137;;cg_137@study.com;Android;2;24
137;J31GYMDM;Participant_0337;;cg_337@study.com;Android;2;24
137;0L2LJK4Q;Participant_0537;;cg_537@study.com;iOS;2;24
138;5V7C6S5N;Participant_0138;;cg_138@study.com;Android;2;24
138;KB4EHOU6;Participant_0338;;cg_338@study.com;Android;2;24
138;QLZ2RWGW;Participant_0538;;cg_538@study.com;Android;2;24
139;AJ1G1R1D;Participant_0139;;cg_139@study.com;Android;2;24
139;WWO8NBHN;Participant_0339;;cg_339@study.com;iOS;2;24
139;AL3GYWIY;Participant_0539;;cg_539@study.com;iOS;2;24
140;MENVG3KK;Participant_0140;;cg_140@study.com;Android;2;24
140;0VM59M6M;Participant_0340;;cg_340@study.com;Android;2;24
140;G87OI0E0;Participant_0540;;cg_540@study.com;Android;2;24
141;VGNXB5JT;Participant_0141;ig_141@study.com;;Android;1;91
141;B9XXAYPN;Participant_0341;ig_341@study.com;;Android;1;91
141;TRFZWKXX;Participant_0541;ig_541@study.com;;iOS;1;91
142;JVE3DZEE;Participant_0142;;cg_142@study.com;Android;2;24
142;DHHJSHZK;Participant_0342;;cg_342@study.com;iOS;2;24
142;BRH7LAY6;Participant_0542;;cg_542@study.com;Android;2;24
143;4YFDS0DJ;Participant_0143;ig_143@study.com;;Android;1;91
143;I9KQDGBK;Participant_0343;ig_343@study.com;;iOS;1;91
143;2L0D1B4X;Participant_0543;ig_543@study.com;;Android;1;91
144;GMPW5D3G;Participant_0144;;cg_144@study.com;iOS;2;24
144;O8JN42X2;Participant_0344;;cg_344@study.com;iOS;2;24
144;EZC7FOV2;Participant_0544;;cg_544@study.com;iOS;2;24
145;YGNMBY49;Participant_0145;;cg_145@study.com;iOS;2;24
145;E7EOBJLZ;Participant_0345;;cg_345@study.com;Android;2;24
145;Y1UU9YMS;Participant_0545;;cg_545@study.com;Android;2;24
146;ZDXIMYN4;Participant_0146;ig_146@study.com;;iOS;1;91
146;U9BXF445;Participant_0346;ig_346@study.com;;iOS;1;91
146;CRI8BIXO;Participant_0546;ig_546@study.com;;Android;1;91
147;IQ2Q4QER;Participant_0147;;cg_147@study.com;Android;2;24
147;XDOUADVW;Participant_0347;;cg_347@study.com;Android;2;24
147;KSHY8NBI;Participant_0547;;cg_547@study.com;Android;2;24
148;QUWRXZE1;Participant_0148;;cg_148@study.com;Android;2;24
148;HM38KSZB;Participant_0348;;cg_348@study.com;iOS;2;24
148;FFZZDVG7;Participant_0548;;cg_548@study.com;iOS;2;24
149;OQ2ZDO74;Participant_0149;ig_149@study.com;;iOS;1;91
149;V1QX8ERT;Participant_0349;ig_349@study.com;;Android;1;91
149;B74RS7GU;Participant_0549;ig_549@study.com;;iOS;1;91
150;0ENV5SN9;Participant_0150;;cg_150@study.com;Android;2;24
150;61J88QEO;Participant_0350;;cg_350@study.com;iOS;2;24
150;Z0KZ4Z7W;Participant_0550;;cg_550@study.com;iOS;2;24
151;HWKMY9X8;Participant_0151;;cg_151@study.com;Android;2;24
151;SYLEMRUY;Participant_0351;;cg_351@study.com;iOS;2;24
151;P04K43SA;Participant_0551;;cg_551@study.com;iOS;2;24
152;FYH1FKJ4;Participant_0152;;cg_152@study.com;Android;2;24
152;YK1B3D50;Participant_0352;;cg_352@study.com;iOS;2;24
152;50UI22KX;Participant_0552;;cg_552@study.com;iOS;2;24
153;7N89LTAJ;Participant_0153;ig_153@study.com;;Android;1;91
153;W2536ZX1;Participant_0353;ig_353@study.com;;Android;1;91
153;TV18KGYG;Participant_0553;ig_553@study.com;;Android;1;91
154;GSNPUEVJ;Participant_0154;ig_154@study.com;;Android;1;91
154;LZFFLB7W;Participant_0354;ig_354@study.com;;iOS;1;91
154;XRUM2LHG;Participant_0554;ig_554@study.com;;iOS;1;91
155;CSOTDHHL;Participant_0155;ig_155@study.com;;iOS;1;91
155;MH1T939A;Participant_0355;ig_355@study.com;;iOS;1;91
155;YQ6WW8YL;Participant_0555;ig_555@study.com;;Android;1;91
156;68NTK63N;Participant_0156;ig_156@study.com;;Android;1;91
156;2QB6GS8G;Participant_0356;ig_356@study.com;;iOS;1;91
156;8TACY15P;Participant_0556;ig_556@study.com;;Android;1;91
157;DTZ91X70;Participant_0157;;cg_157@study.com;iOS;2;24
157;FQLDB2UU;Participant_0357;;cg_357@study.com;Android;2;24
157;IJNWPAYT;Participant_0557;;cg_557@study.com;Android;2;24
158;XW1VZC7D;Participant_0158;;cg_158@study.com;Android;2;24
158;2KD1POXR;Participant_0358;;cg_358@study.com;iOS;2;24
158;TEO2T8FY;Participant_0558;;cg_558@study.com;Android;2;24
159;620N8TTE;Participant_0159;;cg_159@study.com;Android;2;24
159;AVT8K06M;Participant_0359;;cg_359@study.com;Android;2;24
159;OXSFH4GG;Participant_0559;;cg_559@study.com;Android;2;24
160;24479QTK;Participant_0160;ig_160@study.com;;Android;1;91
160;CD0RLEXD;Participant_0360;ig_360@study.com;;Android;1;91
160;W6LQWLVU;Participant_0560;ig_560@study.com;;Android;1;91
161;NLPAIH0P;Participant_0161;ig_161@study.com;;Android;1;91
161;4E05QMKT;Participant_0361;ig_361@study.com;;iOS;1;91
161;GV44FTJ5;Participant_0561;ig_561@study.com;;Android;1;91
162;CCASBUOV;Participant_0162;ig_162@study.com;;iOS;1;91
162;6TT9Q1NI;Participant_0362;ig_362@study.com;;Android;1;91
162;10KQSOSX;Participant_0562;ig_562@study.com;;iOS;1;91
163;43WFSQG8;Participant_0163;ig_163@study.com;;Android;1;91
163;X80RMHRC;Participant_0363;ig_363@study.com;;Android;1;91
163;NBH6NQQB;Participant_0563;ig_563@study.com;;Android;1;91
164;9LZS34JT;Participant_0164;;cg_164@study.com;iOS;2;24
164;GXNX4SN6;Participant_0364;;cg_364@study.com;Android;2;24
164;SM5RRVSF;Participant_0564;;cg_564@study.com;Android;2;24
165;FCXHGNZE;Participant_0165;;cg_165@study.com;iOS;2;24
165;I3ZRRHF4;Participant_0365;;cg_365@study.com;Android;2;24
165;ABUFWBUC;Participant_0565;;cg_565@study.com;Android;2;24
166;JG8VUAZX;Participant_0166;;cg_166@study.com;Android;2;24
166;KDQ95G3V;Participant_0366;;cg_366@study.com;iOS;2;24
166;23GXJ0MQ;Participant_0566;;cg_566@study.com;iOS;2;24
167;VINDH4SP;Participant_0167;;cg_167@study.com;iOS;2;24
167;FDRWB2SE;Participant_0367;;cg_367@study.com;iOS;2;24
167;REV361XS;Participant_0567;;cg_567@study.com;Android;2;24
168;NBTI22NV;Participant_0168;;cg_168@study.com;Android;2;24
168;01ZDERI4;Participant_0368;;cg_368@study.com;iOS;2;24
168;K5OGZ2UE;Participant_0568;;cg_568@study.com;Android;2;24
169;AXYLNFXJ;Participant_0169;ig_169@study.com;;iOS;1;91
169;4PNJY1O2;Participant_0369;ig_369@study.com;;iOS;1;91
169;RNTJLMZ0;Participant_0569;ig_569@study.com;;iOS;1;91
170;4X0QZFHO;Participant_0170;;cg_170@study.com;iOS;2;24
170;MTZZF8AD;Participant_0370;;cg_370@study.com;Android;2;24
170;F7PCHCBN;Participant_0570;;cg_570@study.com;iOS;2;24
171;9WSZV83X;Participant_0171;;cg_171@study.com;iOS;2;24
171;PHX2KBVS;Participant_0371;;cg_371@study.com;iOS;2;24
171;IGBIAF92;Participant_0571;;cg_571@study.com;Android;2;24
172;MOVS0CDK;Participant_0172;ig_172@study.com;;Android;1;91
172;36M8JVH7;Participant_0372;ig_372@study.com;;iOS;1;91
172;UJODCK82;Participant_0572;ig_572@study.com;;Android;1;91
173;853UY8U1;Participant_0173;ig_173@study.com;;iOS;1;91
173;18QQVAEC;Participant_0373;ig_373@study.com;;Android;1;91
173;W9YIL8SA;Participant_0573;ig_573@study.com;;Android;1;91
174;3IDY3C7R;Participant_0174;ig_174@study.com;;Android;1;91
174;M6J8Y6RH;Participant_0374;ig_374@study.com;;Android;1;91
174;05HHIWFD;Participant_0574;ig_574@study.com;;iOS;1;91
175;7YXW1TBR;Participant_0175;ig_175@study.com;;Android;1;91
175;WR965R96;Participant_0375;ig_375@study.com;;Android;1;91
175;KHUB2RTS;Participant_0575;ig_575@study.com;;Android;1;91
176;OYG9ZQYA;Participant_0176;;cg_176@study.com;Android;2;24
176;HULWJTIQ;Participant_0376;;cg_376@study.com;iOS;2;24
176;WNRHZN4K;Participant_0576;;cg_576@study.com;iOS;2;24
177;GEUIDJIP;Participant_0177;;cg_177@study.com;Android;2;24
177;NF8F3GR9;Participant_0377;;cg_377@study.com;Android;2;24
177;4SZ2KUUO;Participant_0577;;cg_577@study.com;Android;2;24
178;YC3RWQMM;Participant_0178;ig_178@study.com;;iOS;1;91
178;U7JAE58H;Participant_0378;ig_378@study.com;;iOS;1;91
178;UXG2MYR0;Participant_0578;ig_578@study.com;;iOS;1;91
179;6NKWFG3M;Participant_0179;;cg_179@study.com;Android;2;24
179;WU4CFILK;Participant_0379;;cg_379@study.com;iOS;2;24
179;JXJQ5NV8;Participant_0579;;cg_579@study.com;Android;2;24
180;OGA0X7ZC;Participant_0180;ig_180@study.com;;Android;1;91
180;GDC5TAO1;Participant_0380;ig_380@study.com;;Android;1;91
180;CJFX5LIK;Participant_0580;ig_580@study.com;;Android;1;91
181;WE4BX4LR;Participant_0181;ig_181@study.com;;Android;1;91
181;9TJQ8ZGV;Participant_0381;ig_381@study.com;;Android;1;91
181;WWUSXLMT;Participant_0581;ig_581@study.com;;iOS;1;91
182;2PNJKA34;Participant_0182;ig_182@study.com;;Android;1;91
182;MQA78RAP;Participant_0382;ig_382@study.com;;iOS;1;91
182;KIANOUOF;Participant_0582;ig_582@study.com;;Android;1;91
183;0ONJPI16;Participant_0183;ig_183@study.com;;Android;1;91
183;3YK03O4G;Participant_0383;ig_383@study.com;;Android;1;91
183;KWWJWGAB;Participant_0583;ig_583@study.com;;Android;1;91
184;TGDJZ0IF;Participant_0184;ig_184@study.com;;iOS;1;91
184;RML29Q2L;Participant_0384;ig_384@study.com;;Android;1;91
184;48C1CQG4;Participant_0584;ig_584@study.com;;Android;1;91
185;33E1I1P0;Participant_0185;;cg_185@study.com;Android;2;24
185;BQ1S9RYL;Participant_0385;;cg_385@study.com;iOS;2;24
185;LWB7SJWH;Participant_0585;;cg_585@study.com;Android;2;24
186;55HEWLGJ;Participant_0186;;cg_186@study.com;Android;2;24
186;E2AB2RVN;Participant_0386;;cg_386@study.com;Android;2;24
186;DFDW79WC;Participant_0586;;cg_586@study.com;iOS;2;24
187;XZ2EI921;Participant_0187;ig_187@study.com;;iOS;1;91
187;2PGYME6R;Participant_0387;ig_387@study.com;;Android;1;91
187;PKZGGM0J;Participant_0587;ig_587@study.com;;iOS;1;91
188;36TCFKJN;Participant_0188;;cg_188@study.com;iOS;2;24
188;AWNGA41I;Participant_0388;;cg_388@study.com;Android;2;24
188;ZXTNSRTW;Participant_0588;;cg_588@study.com;Android;2;24
189;LXDSC4E5;Participant_0189;ig_189@study.com;;Android;1;91
189;HRDU4XSZ;Participant_0389;ig_389@study.com;;iOS;1;91
189;JNVC7HR6;Participant_0589;ig_589@study.com;;Android;1;91
190;C2CU7ONZ;Participant_0190;;cg_190@study.com;Android;2;24
190;3JBCK88D;Participant_0390;;cg_390@study.com;Android;2;24
190;0TGSIWG0;Participant_0590;;cg_590@study.com;Android;2;24
191;ODWMQX5G;Participant_0191;;cg_191@study.com;Android;2;24
191;GOMF9PML;Participant_0391;;cg_391@study.com;Android;2;24
191;9LN1P0VU;Participant_0591;;cg_591@study.com;iOS;2;24
192;H17J8QO0;Participant_0192;;cg_192@study.com;iOS;2;24
192;9VS9KKH4;Participant_0392;;cg_392@study.com;iOS;2;24
192;A3YJTU7F;Participant_0592;;cg_592@study.com;Android;2;24
193;BMENUI3D;Participant_0193;ig_193@study.com;;iOS;1;91
193;O7002G3Y;Participant_0393;ig_393@study.com;;Android;1;91
193;U6VK0UCC;Participant_0593;ig_593@study.com;;Android;1;91
194;1M3O55IX;Participant_0194;;cg_194@study.com;iOS;2;24
194;VA1NKBTF;Participant_0394;;cg_394@study.com;iOS;2;24
194;SHB0OQVS;Participant_0594;;cg_594@study.com;Android;2;24
195;HKOECUBO;Participant_0195;;cg_195@study.com;Android;2;24
195;DS1EEURX;Participant_0395;;cg_395@study.com;Android;2;24
195;HW0IC1L7;Participant_0595;;cg_595@study.com;Android;2;24
196;DYPMLVAK;Participant_0196;ig_196@study.com;;iOS;1;91
196;9W9PFB3H;Participant_0396;ig_396@study.com;;iOS;1;91
196;N14EB875;Participant_0596;ig_596@study.com;;Android;1;91
197;3AYEQAHT;Participant_0197;;cg_197@study.com;iOS;2;24
197;HSJR0FZA;Participant_0397;;cg_397@study.com;iOS;2;24
197;UXBGK2WB;Participant_0597;;cg_597@study.com;Android;2;24
198;XANJ4X5A;Participant_0198;ig_198@study.com;;iOS;1;91
198;5XIN9DL5;Participant_0398;ig_398@study.com;;Android;1;91
198;TGSQ7AIT;Participant_0598;ig_598@study.com;;iOS;1;91
199;MOFMMWI9;Participant_0199;ig_199@study.com;;iOS;1;91
199;S3W563BT;Participant_0399;ig_399@study.com;;iOS;1;91
199;KF6XDN8W;Participant_0599;ig_599@study.com;;iOS;1;91
200;WIIF86LT;Participant_0200;ig_200@study.com;;Android;1;91
200;HET25LZS;Participant_0400;ig_400@study.com;;iOS;1;91
200;E99F77LU;Participant_0600;ig_600@study.com;;Android;1;91
